,trap_code,y,x,z
1,BONORD01,44.71975,11.15641,17
2,BONORD02,44.79137,11.22225,12
6,BONORD07,44.61057,11.2561,24
8,BONORD09,44.54579,11.18906,39
11,BONORD14,44.68706,11.41331,14
19,COMA02,44.7939,12.25767,1
20,COMA10,44.6927,12.18192,1
21,WN003A,45.07319,9.64505,51
22,WN004A,45.08284,9.75403,48
23,WN005A,45.0685,9.8667,44
24,WN006A,45.07552,10.01609,37
27,WN013A,44.98207,9.84966,57
28,WN014A,45.00617,9.96307,46
29,WN015A,45.02382,10.12366,28
30,WN016A,45.01609,10.2257,31
31,WN017A,44.96942,10.37818,28
32,WN019A,44.94947,10.69336,21
33,WN021B,44.94126,11.04,9
34,WN023A,44.94161,11.29661,8
35,WN024A,44.95309,11.38285,7
36,WN027A,44.96634,11.83465,0
37,WN028A,44.98184,11.95635,1
38,WN029A,44.97369,12.04279,5
39,WN030A,44.91779,12.18435,-1
40,WN035A,44.938808,10.135982,40
41,WN036A,44.89932,10.25241,36
43,WN038A,44.90327,10.50998,28
44,WN039A,44.86444,10.66999,21
45,WN040A,44.8576,10.80917,20
47,WN041A,44.88117,10.90093,18
48,WN042A,44.89941,11.08874,15
49,WN043A,44.88833,11.18042,9
50,WN044B,44.86575,11.27591,10
51,WN045A,44.85551,11.42277,8
52,WN046A,44.85309,11.5906,6
53,WN047B,44.89635,11.64692,7
54,WN048A,44.88645,11.82766,5
55,WN049A,44.88017,11.98409,-2
56,WN050A,44.83433,12.07019,-2
57,WN052A,44.86566,12.28947,-2
60,WN056A,44.808,10.52472,34
62,WN057A,44.77976,10.67137,27
63,WN059A,44.7831,10.87384,30
64,WN060A,44.77859,11.05188,17
65,WN063A,44.79729,11.41942,12
66,WN064A,44.7284,11.54497,7
67,WN065A,44.79817,11.72167,2
68,WN066A,44.76037,11.84285,1
69,WN067B,44.74289,11.95396,-1
70,WN068A,44.74084,12.02201,0
72,WN074A,44.69129,10.4672,100
74,WN076A,44.70382,10.75911,38
75,WN077A,44.68377,10.87324,37
76,WN078A,44.69398,11.02481,26
78,WN082B,44.67531,11.5686,3
79,WN083A,44.66631,11.70102,7
80,WN085A,44.64625,11.87937,0
84,WN090A,44.61399,10.7921,68
85,WN092A,44.59546,11.0171,39
87,WN096A,44.566026,11.578349,13
88,WN097B,44.57134,11.65506,8
89,WN099A,44.58186,11.89251,2
92,WN101A,44.55169,12.13867,1
95,WN108A,44.52151,11.40172,38
96,WN109A,44.4903,11.52766,31
97,WN110A,44.51117,11.70723,7
98,WN112A,44.47824,11.88781,8
99,WN113A,44.47479,11.98256,7
100,WN114A,44.44802,12.13445,1
104,WN124A,44.37435,12.10209,1
